income,delta,predict,islow
2720,8.333278576,2711.67,0
2587.07,622.261557,1964.81,0
2916.1,-105.8484078,3021.95,0
2868.29,314.283972,2554.01,0
2605,281.330746,2323.67,0
2937.38,56.55918381,2880.82,0
2943.16,418.5392694,2524.62,0
2719.05,-370.6736181,3089.72,1
2769.88,-185.9102544,2955.79,0
2711.03,-213.5516062,2924.58,1
2905.1,-229.7695277,3134.87,1
2852.62,310.2366962,2542.38,0
2892.26,-181.6790722,3073.94,0
2603.67,238.820429,2364.85,0
2917,68.37415601,2848.63,0
2569.5,-129.0537231,2698.55,0
2654.46,27.07091077,2627.39,0
2749.33,-508.5412157,3257.87,1
2766.5,199.6244556,2566.88,0
2900.9,169.5143322,2731.39,0
2879.91,-72.51967077,2952.43,0
2765.01,-244.2323953,3009.24,1
2852.57,96.94832241,2755.62,0
2835.4,293.385358,2542.01,0
2905.38,30.08781948,2875.29,0
2802.35,-328.0955654,3130.45,1
2851.36,564.3430966,2287.02,0
2700,62.94386222,2637.06,0
2586.67,-652.0778057,3238.75,1
2750,-149.7531771,2899.75,0
2659.13,303.5063419,2355.62,0
2795.67,-517.2550385,3312.93,1
2634.72,-438.6366063,3073.36,1
2902.89,-66.08147607,2968.97,0
2732.23,572.3278511,2159.90,0
2564,38.54779736,2525.45,0
2876,-295.7235647,3171.72,1
2566.76,-293.2313084,2859.99,1
2841,72.08516173,2768.91,0
2777,77.63600804,2699.36,0
2910.93,122.3331185,2788.60,0
2880.97,-66.49988879,2947.47,0
2836.84,-76.57723927,2913.42,0
2853.83,230.5660331,2623.26,0
2870,-30.51619247,2900.52,0
2876.67,366.8556689,2509.81,0
2942.42,21.53903293,2920.88,0
2822.7,100.7418549,2721.96,0
2834.5,300.0897256,2534.41,0
2883.42,419.4439998,2463.98,0
2912.67,-184.1554579,3096.83,0
2942,557.5923127,2384.41,0
2596,218.9275586,2377.07,0
2855.6,373.2450945,2482.35,0
2742.32,-201.2481863,2943.57,1
2776.4,82.07856233,2694.32,0
2691.61,1.978630846,2689.63,0
2870.02,-243.5356499,3113.56,1
2801.47,-223.8791625,3025.35,1
2664.99,307.5215394,2357.47,0
2897.81,71.4282067,2826.38,0
2898.41,-302.8144376,3201.22,1
2887.26,23.96757484,2863.29,0
2887,-275.5394548,3162.54,1
2841.92,37.86779517,2804.05,0
2927.5,-3.166986566,2930.67,0
2944.96,67.9574779,2877.00,0
2909.96,88.99704367,2820.96,0
2884.6,118.1942084,2766.41,0
2806,-116.6386559,2922.64,0
2807.14,38.0565578,2769.08,0
2749.79,382.6825889,2367.11,0
2936.34,-198.567712,3134.91,0
2816.25,314.2629242,2501.99,0
2864.25,-284.9178848,3149.17,1
2761.4,-90.18077581,2851.58,0
2907,-95.38695273,3002.39,0
2884.5,-377.5460972,3262.05,1
2716,151.2873985,2564.71,0
2902.95,-92.2934444,2995.24,0
2940,-349.9763968,3289.98,1
2663.97,-386.1324937,3050.10,1
2686.66,-94.44449151,2781.10,0
2857.14,-212.3286991,3069.47,1
2926.17,60.69910984,2865.47,0
2643.99,5.968720227,2638.02,0
2663.67,59.09230277,2604.58,0
2889.32,648.1004746,2241.22,0
2761.88,76.82437737,2685.06,0
2791.82,-293.9957671,3085.82,1
2628.45,124.6794247,2503.77,0
2673,503.3701011,2169.63,0
2897.02,199.1926802,2697.83,0
2834.95,-174.9139827,3009.86,0
2635.66,-223.4599542,2859.12,1
2773.33,-283.9481443,3057.28,1
2946.5,90.88429114,2855.62,0
2593,12.81206958,2580.19,0
2582,-175.4638596,2757.46,0
2705.11,-52.4964481,2757.61,0
2646.57,-60.26327074,2706.83,0
2939.61,179.8271755,2759.78,0
2606.73,-629.2058531,3235.94,1
2939.57,-365.6895607,3305.26,1
2925.33,-160.5845213,3085.91,0
2575.65,-20.10659056,2595.76,0
2731.44,157.3277994,2574.11,0
2616,-324.6176066,2940.62,1
2760,280.1697533,2479.83,0
2895.46,159.6283754,2735.83,0
2899.67,-43.14783246,2942.82,0
2845.1,264.2900965,2580.81,0
2614.5,-212.3941581,2826.89,1
2719.7,-234.7309783,2954.43,1
2779.83,506.4024091,2273.43,0
2890.97,-97.83381701,2988.80,0
2932.86,50.50300681,2882.36,0
2656.09,256.7447867,2399.35,0
2909.3,-126.5453829,3035.85,0
2823,-90.25885991,2913.26,0
2830.8,225.4407227,2605.36,0
2646.56,38.34730466,2608.21,0
2903.4,-293.8388072,3197.24,1
2800.13,-320.1127837,3120.24,1
2678.04,-135.8678855,2813.91,0
2841.33,77.9994269,2763.33,0
2619.22,-31.09611662,2650.32,0
2930,-23.05125027,2953.05,0
2928.5,78.41263841,2850.09,0
2908,65.31230746,2842.69,0
2881.5,102.1765874,2779.32,0
2666.67,-63.0330437,2729.70,0
2907.7,292.8666285,2614.83,0
2911.5,477.1412196,2434.36,0
2836.45,-311.3168035,3147.77,1
2759.79,356.5558543,2403.23,0
2935,16.96059496,2918.04,0
2811.64,0.184930285,2811.46,0
2929,138.4814838,2790.52,0
2769.58,-144.6130125,2914.19,0
2792.8,-424.8190902,3217.62,1
2809,169.9443801,2639.06,0
2777.5,-74.19791311,2851.70,0
2565.87,-197.2613427,2763.13,0
2915,16.18045402,2898.82,0
2780.06,377.6286148,2402.43,0
2569.38,-138.2120062,2707.59,0
2664.67,100.6107204,2564.06,0
2758.18,62.98118907,2695.20,0
2755.6,258.4406218,2497.16,0
2762.48,325.9667805,2436.51,0
2743.06,-136.9277106,2879.99,0
2707.93,78.46150677,2629.47,0
2875,-180.6970385,3055.70,0
2681.97,171.4768658,2510.49,0
2834.67,162.8199695,2671.85,0
2900,-275.721821,3175.72,1
2725.47,-200.4839214,2925.95,1
2834.92,-438.9242167,3273.84,1
2744.5,-88.44138512,2832.94,0
2813.27,13.58735335,2799.68,0
2858.54,38.09602586,2820.44,0
2608.2,-168.9136091,2777.11,0
2809.75,-193.6826489,3003.43,0
2800.33,70.84528211,2729.48,0
2851.88,276.4018324,2575.48,0
2949.67,-244.8762561,3194.55,1
2760.8,8.596012183,2752.20,0
2913.91,-10.45338697,2924.36,0
2758.96,-94.99846126,2853.96,0
2774.42,261.7576476,2512.66,0
2819.21,192.0048316,2627.21,0
2844.26,-102.1110455,2946.37,0
2845,135.6809498,2709.32,0
2920.98,-364.6867507,3285.67,1
2681.49,165.7471754,2515.74,0
2948.44,-176.571546,3125.01,0
2928.97,-18.8016185,2947.77,0
2926.47,55.79689387,2870.67,0
2642.87,66.57043697,2576.30,0
2598.61,-5.270134299,2603.88,0
2880,79.32790682,2800.67,0
2865,29.87841504,2835.12,0
2821.61,-80.68115912,2902.29,0
2709.67,-283.2363137,2992.91,1
2795.78,-305.5236133,3101.30,1
2600,240.7415075,2359.26,0
2624,-78.60136558,2702.60,0
2700.75,-135.8584945,2836.61,0
2938.88,-204.3959786,3143.28,1
2625,-106.9467849,2731.95,0
2716,-106.2348641,2822.23,0
2553.5,254.4578428,2299.04,0
2829.5,140.904339,2688.60,0
2912.03,-198.0836375,3110.11,0
2639.74,117.5053272,2522.23,0
2830.91,-303.3306808,3134.24,1
2840,-360.6291901,3200.63,1
2914.6,-170.5710963,3085.17,0
2906.68,-56.61939944,2963.30,0
2867.33,-32.15053309,2899.48,0
2939.29,338.7961456,2600.49,0
2760,5.136236081,2754.86,0
2742.74,79.47419674,2663.27,0
2692.21,104.1019537,2588.11,0
2861,-313.0031047,3174.00,1
2750,16.43787837,2733.56,0
2603.73,-125.6472157,2729.38,0
2663.56,-210.9597966,2874.52,1
2648.02,184.598089,2463.42,0
2657.2,-36.9763671,2694.18,0
2878.03,204.2007332,2673.83,0
2670,-100.8340409,2770.83,0
2695.81,-50.92614,2746.74,0
2593.9,-107.3833558,2701.28,0
2646.99,-246.1899033,2893.18,1
2851.34,159.3131786,2692.03,0
2949.25,183.3562975,2765.89,0
2766.03,502.3459611,2263.68,0
2855.41,-38.21204839,2893.62,0
2856,-186.5445077,3042.54,0
2814.65,-88.21720742,2902.87,0
2870.75,93.78970937,2776.96,0
2939.68,-13.58304533,2953.26,0
2890,-84.66062459,2974.66,0
2598.12,496.7227587,2101.40,0
2881,185.4073264,2695.59,0
2575,-208.722263,2783.72,1
2560.58,-197.9476523,2758.53,0
2759.68,-334.1163042,3093.80,1
2591.5,13.31928473,2578.18,0
2551.67,28.16862963,2523.50,0
2889.23,-16.4816845,2905.71,0
2672.67,101.2141397,2571.46,0
2878.4,4.214625623,2874.19,0
2691.88,-59.53396853,2751.41,0
2901.89,163.7311895,2738.16,0
2838.33,272.7305845,2565.60,0
2834.71,-186.0555985,3020.77,0
2950,-560.9372759,3510.94,1
2569.38,-10.06541555,2579.45,0
2908.8,-304.9888544,3213.79,1
2557.75,367.2694233,2190.48,0
2855.7,146.2463011,2709.45,0
2840,306.8479718,2533.15,0
2831,236.9094724,2594.09,0
2945.04,-151.6998063,3096.74,0
2837,10.48981683,2826.51,0
2905.33,-151.9096947,3057.24,0
2726.82,-34.47714317,2761.30,0
2639.79,185.0802452,2454.71,0
2800.87,195.7153547,2605.15,0
2846.93,256.2808713,2590.65,0
2841.68,52.37318899,2789.31,0
2869.98,184.8062312,2685.17,0
2828.37,68.23795203,2760.13,0
2907.96,-84.36928469,2992.33,0
2868,31.00349382,2837.00,0
2921.13,389.4194058,2531.71,0
2645.32,-448.1651071,3093.49,1
2774.95,-430.6242838,3205.57,1
2865.83,226.7683451,2639.06,0
2752.52,69.9849268,2682.54,0
