income,delta,predict,islow
3199.8,136.4239073,3063.38,0
3199.74,284.2158568,2915.52,0
3199.17,-158.3327045,3357.50,0
3199,816.9342543,2382.07,0
3198.97,329.3113136,2869.66,0
3198.75,-375.9114041,3574.66,1
3198.5,56.28622009,3142.21,0
3198.14,-217.697732,3415.84,1
3197.75,-220.7497424,3418.50,1
3196.67,-125.331499,3322.00,0
3196.43,-150.6244086,3347.05,0
3196.16,1.478227033,3194.68,0
3195.15,-135.1334948,3330.28,0
3195.07,508.1192647,2686.95,0
3195,-49.76315042,3244.76,0
3194.97,-107.16736,3302.14,0
3194.5,36.78368436,3157.72,0
3194.4,-94.53126179,3288.93,0
3194.07,174.9634027,3019.11,0
3193.75,35.54676977,3158.20,0
3193,-81.73804329,3274.74,0
3192.71,299.2928058,2893.42,0
3192.42,-106.4146914,3298.83,0
3192.13,28.99105158,3163.14,0
3191.74,-248.4883592,3440.23,1
3191.23,119.2249282,3072.01,0
3191,304.4881988,2886.51,0
3190.81,-202.2826109,3393.09,1
3190.57,306.8551666,2883.71,0
3190.53,-286.2391497,3476.77,1
3190.05,-386.5926429,3576.64,1
3190.02,-374.8664899,3564.89,1
3190,81.10714919,3108.89,0
3190,-420.1173473,3610.12,1
3190,213.3883777,2976.61,0
3189.79,20.19280358,3169.60,0
3189.66,-422.604191,3612.26,1
3189.5,-150.1921953,3339.69,0
3189.2,-28.48676307,3217.69,0
3189.14,-287.0858707,3476.23,1
3188.6,-415.5724671,3604.17,1
3188.48,-13.29659707,3201.78,0
3187.75,-124.5357422,3312.29,0
3187.5,111.7168951,3075.78,0
3186.95,493.5173629,2693.43,0
3186.67,77.78557487,3108.88,0
3186.67,267.3745691,2919.30,0
3186.16,16.46906623,3169.69,0
3185.81,-276.1202382,3461.93,1
3185.22,385.6447889,2799.58,0
3184.7,-170.9370094,3355.64,0
3184.19,282.5515521,2901.64,0
3184.05,-417.186087,3601.24,1
3183.94,226.077296,2957.86,0
3183.72,214.8976357,2968.82,0
3183.7,220.5401397,2963.16,0
3183.69,291.8133885,2891.88,0
3183,-65.7076041,3248.71,0
3182.91,369.8813913,2813.03,0
3182.79,-176.6389266,3359.43,0
3182.71,-242.3339407,3425.04,1
3182.15,-102.6992769,3284.85,0
3181.75,29.78109649,3151.97,0
3181.21,68.35423555,3112.86,0
3181.02,-61.56600641,3242.59,0
3180.78,4.218204695,3176.56,0
3180.68,-69.6756547,3250.36,0
3180,225.6583066,2954.34,0
3180,92.84122682,3087.16,0
3179.08,-284.338016,3463.42,1
3178.8,-150.8035998,3329.60,0
3178.75,61.79149216,3116.96,0
3178.49,-136.0147101,3314.50,0
3178.45,-461.9913197,3640.44,1
3178.39,185.6065154,2992.78,0
3178,-461.5178345,3639.52,1
3177.18,36.78115853,3140.40,0
3176.7,102.2486061,3074.45,0
3176.38,-26.1298455,3202.51,0
3176.1,160.78998,3015.31,0
3175.78,37.79769907,3137.98,0
3175.74,-24.09739194,3199.84,0
3175.65,143.9976155,3031.65,0
3175.27,-304.3400144,3479.61,1
3175.25,-153.5728618,3328.82,0
3175.01,-86.3028748,3261.31,0
3175,200.0890452,2974.91,0
3175,18.56745334,3156.43,0
3174.01,249.1653339,2924.84,0
3173.86,-381.5016475,3555.36,1
3173.31,66.9387478,3106.37,0
3173,-112.0670017,3285.07,0
3172.95,-82.53022983,3255.48,0
3172.84,14.81267576,3158.03,0
3172.59,155.9648849,3016.63,0
3172.5,147.2924101,3025.21,0
3171.73,-40.21165186,3211.94,0
3171.67,-242.4395067,3414.11,1
3171.41,-8.376404376,3179.79,0
3171,-100.1924256,3271.19,0
3170.69,-57.12991207,3227.82,0
3170.53,53.06399189,3117.47,0
3170.49,-15.07592245,3185.57,0
3170,92.08738877,3077.91,0
3170,-381.7674736,3551.77,1
3170,-513.200434,3683.20,1
3169.55,255.9910809,2913.56,0
3169.34,58.25645354,3111.08,0
3169.01,214.5607776,2954.45,0
3168.98,-189.3230198,3358.30,0
3168.6,60.24728028,3108.35,0
3168.32,228.1387394,2940.18,0
3168,-24.22903633,3192.23,0
3167.8,363.1409539,2804.66,0
3166.83,-337.2884684,3504.12,1
3166.77,211.7000606,2955.07,0
3166.67,117.3185059,3049.35,0
3166.67,182.3762478,2984.29,0
3166.5,24.54833043,3141.95,0
3166.46,367.8989109,2798.56,0
3166.36,-385.6740934,3552.03,1
3166.33,-384.2651352,3550.60,1
3165.35,266.9246078,2898.43,0
3165,-366.4161041,3531.42,1
3165,388.1001403,2776.90,0
3164.86,292.4693334,2872.39,0
3164.36,448.8986357,2715.46,0
3163.83,-6.004799065,3169.83,0
3163.6,81.29673002,3082.30,0
3163.49,304.830982,2858.66,0
3163.27,154.2226008,3009.05,0
3162.71,-31.24698529,3193.96,0
3162.55,153.3160556,3009.23,0
3161.6,-119.6312466,3281.23,0
3161.5,-208.6864024,3370.19,1
3161.21,246.8770885,2914.33,0
3160.36,-33.67477383,3194.03,0
3160.25,39.13996442,3121.11,0
3159.69,306.9070886,2852.78,0
3159.6,371.1954488,2788.40,0
3158.43,110.52726,3047.90,0
3158.39,-57.2352742,3215.63,0
3158.25,-407.49567,3565.75,1
3157.79,107.3580929,3050.43,0
3157.5,-273.0329807,3430.53,1
3157.39,-17.58853927,3174.98,0
3157.18,245.4182015,2911.76,0
3157,-53.33828857,3210.34,0
3156.7,79.02868009,3077.67,0
3156.45,407.8048004,2748.65,0
3155.72,-11.62025778,3167.34,0
3155.53,-12.52859737,3168.06,0
3155.26,-538.9002132,3694.16,1
3155.14,175.287203,2979.85,0
3155.04,-75.00347883,3230.04,0
3155,-66.42764999,3221.43,0
3154.36,85.37411689,3068.99,0
3154,533.3977559,2620.60,0
3153.33,-30.32547469,3183.66,0
3153.33,86.74718942,3066.58,0
3152.85,168.2235313,2984.63,0
3152,208.4959182,2943.50,0
3152,109.7372774,3042.26,0
3150.08,-139.2869125,3289.37,0
3150,358.7686757,2791.23,0
3149.53,-211.6601051,3361.19,1
3149.5,-208.0399078,3357.54,1
3149.21,-60.91630583,3210.13,0
3149.12,2.128878015,3146.99,0
3148.61,-114.3260789,3262.94,0
3148.55,323.7015243,2824.85,0
3148.46,-248.9330136,3397.39,1
3148.36,-384.5438862,3532.90,1
3148.33,141.408699,3006.92,0
3147.4,32.92342613,3114.48,0
3147.15,138.4164008,3008.73,0
3147.08,-301.8500287,3448.93,1
3146.67,158.2722454,2988.40,0
3146.4,-300.5017416,3446.90,1
3146,-28.66259153,3174.66,0
3145.82,-300.059782,3445.88,1
3145.67,-284.695525,3430.37,1
3145.35,329.6082803,2815.74,0
3145.35,195.1458995,2950.20,0
3145.19,307.1147207,2838.08,0
3145,98.62826226,3046.37,0
3144.49,-225.0699937,3369.56,1
3144.27,195.9706634,2948.30,0
3143.89,-219.3649941,3363.25,1
3143.5,140.8551772,3002.64,0
3143.49,-266.2652776,3409.76,1
3143.33,-128.9675909,3272.30,0
3143.31,172.7217755,2970.59,0
3143.09,-154.7909868,3297.88,0
3142.64,-28.31607427,3170.96,0
3141.76,11.72989493,3130.03,0
3140.63,-76.89831762,3217.53,0
3140.4,66.22857733,3074.17,0
3140.11,32.32599475,3107.78,0
3140,-200.6360222,3340.64,1
3140,-48.18449936,3188.18,0
3139.99,-58.72168097,3198.71,0
3139.8,178.0089711,2961.79,0
3139.8,-258.1010062,3397.90,1
3139.08,238.4332529,2900.65,0
3138.67,290.0670518,2848.60,0
3137.75,307.3403079,2830.41,0
3137.7,206.9495255,2930.75,0
3137.5,-108.7957237,3246.30,0
3136.85,32.59930847,3104.25,0
3136.67,92.83700378,3043.83,0
3136.67,-120.6029251,3257.27,0
3136.25,43.83208483,3092.42,0
3135.62,54.80896278,3080.81,0
3135.29,-36.50882728,3171.80,0
3135.24,115.5500888,3019.69,0
3135.14,302.2248475,2832.92,0
3135.06,-452.9076718,3587.97,1
3135,188.066242,2946.93,0
3134.4,298.2216592,2836.18,0
3134.31,-298.3220694,3432.63,1
3134.26,28.79565289,3105.46,0
3134,-118.3866715,3252.39,0
3133.99,196.7790942,2937.21,0
3133.33,-20.86189411,3154.19,0
3133.33,269.0691574,2864.26,0
3133.29,-19.64368901,3152.93,0
3133.16,-200.5519507,3333.71,1
3132.4,32.77740327,3099.62,0
3131.89,571.2026216,2560.69,0
3131.89,324.0278083,2807.86,0
3131.25,-249.6708025,3380.92,1
3131.12,-276.6279927,3407.75,1
3131,-488.9562586,3619.96,1
3130.5,183.5747847,2946.93,0
3130,336.420343,2793.58,0
3130,-112.9968417,3243.00,0
3130,-258.9923167,3388.99,1
3129.96,-71.01943415,3200.98,0
3128.92,-262.0072585,3390.93,1
3128.8,350.6711024,2778.13,0
3128.39,-272.4017506,3400.79,1
3128.21,-139.3687316,3267.58,0
3127.05,-550.8930207,3677.94,1
3126.88,2.037183195,3124.84,0
3126.67,189.8826024,2936.79,0
3126.62,8.340459551,3118.28,0
3126.3,58.35915272,3067.94,0
3125.26,450.9499574,2674.31,0
3125.16,106.1371975,3019.02,0
3125,211.2489111,2913.75,0
3124.8,26.25440844,3098.55,0
3124.4,-171.5997329,3296.00,0
3124.34,-96.86126855,3221.20,0
3124.21,-180.9343862,3305.14,0
3124,-517.315504,3641.32,1
3124,86.46043417,3037.54,0
3123.85,149.5322113,2974.32,0
3123.26,133.9821258,2989.28,0
3123.2,39.78619613,3083.41,0
3123.16,-17.42239804,3140.58,0
3123.14,501.9683191,2621.17,0
3123.08,-5.352577754,3128.43,0
3123.03,-209.6666061,3332.70,1
3122.85,-66.6465492,3189.50,0
3122.64,157.141965,2965.50,0
3122.25,-178.1958972,3300.45,0
3121.79,-114.2255693,3236.02,0
3121.76,-32.59643556,3154.36,0
3121.75,-45.04636919,3166.80,0
3121.75,374.3198707,2747.43,0
3121.51,-237.7054182,3359.22,1
3121.26,-34.90347812,3156.16,0
3121.22,11.46076958,3109.76,0
3120.95,332.1280774,2788.82,0
3120.61,29.88904533,3090.72,0
3120.55,143.4614971,2977.09,0
3120.5,156.7517581,2963.75,0
3120.31,-173.7797851,3294.09,0
3120,166.5091674,2953.49,0
3119.68,-158.4620028,3278.14,0
3119.35,30.62561259,3088.72,0
3118.97,-199.2410539,3318.21,0
3118.97,373.8326754,2745.14,0
